! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! NREL 5.0 MW offshore baseline aerodynamic blade input properties 
! ------------------------------------------------------------------------------
"DEFAULT"    InterpOrd   	 ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=3]
1            NonDimArea  	 ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
0            NumCoords   	 ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
1            NumTabs     	 ! Number of airfoil tables in this file.  Each table must have lines for Re and Ctrl.
! ------------------------------------------------------------------------------
! data for table 1
! ------------------------------------------------------------------------------
1.0	 Re 	 ! Reynolds number in millions
0 	 Ctrl 	 ! Control setting (must be 0 for current AirfoilInfo)
False 	 InclUAdata 	 ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefficients below this line)
!........................................
! Table of aerodynamics coefficients
145	 NumAlf 	 ! Number of data lines in the following table
! 	 Alpha 	 Cl 	 Cd 	 Cm
! 	 (deg) 	 (-) 	 (-) 	 (-)
-19.0	-1.1366	0.0959	-0.0237
-18.75	-1.1361	0.0928	-0.0248
-18.5	-1.1358	0.0897	-0.0258
-18.25	-1.1297	0.0874	-0.0266
-18.0	-1.1301	0.0843	-0.0275
-17.75	-1.1319	0.081	-0.0285
-17.5	-1.1286	0.0784	-0.0293
-17.25	-1.1251	0.0758	-0.03
-17.0	-1.1271	0.0727	-0.0309
-16.75	-1.126	0.0699	-0.0316
-16.5	-1.1233	0.0673	-0.0323
-16.25	-1.1247	0.0643	-0.0329
-16.0	-1.124	0.0615	-0.0336
-15.75	-1.1241	0.0587	-0.0341
-15.5	-1.1247	0.0559	-0.0346
-15.25	-1.1216	0.0534	-0.0358
-15.0	-1.1221	0.0509	-0.036
-14.75	-1.1235	0.0483	-0.0363
-14.5	-1.1263	0.0455	-0.0366
-14.25	-1.1233	0.0433	-0.0368
-14.0	-1.1255	0.0406	-0.0371
-13.75	-1.1237	0.0383	-0.0373
-13.5	-1.1194	0.0363	-0.0376
-13.25	-1.117	0.0341	-0.0377
-13.0	-1.1118	0.0322	-0.0379
-12.75	-1.105	0.0304	-0.0381
-12.5	-1.0982	0.0287	-0.0382
-12.25	-1.0903	0.0271	-0.0384
-12.0	-1.0812	0.0256	-0.0385
-11.75	-1.074	0.0239	-0.0385
-11.5	-1.062	0.0228	-0.0385
-11.25	-1.0596	0.0212	-0.0379
-11.0	-1.0416	0.0203	-0.0386
-10.75	-1.0249	0.0188	-0.0401
-10.5	-1.0014	0.0179	-0.0418
-10.25	-0.9763	0.0168	-0.044
-10.0	-0.9483	0.0159	-0.0463
-9.75	-0.9184	0.0153	-0.0485
-9.5	-0.8869	0.0144	-0.0515
-9.25	-0.8544	0.0139	-0.0537
-9.0	-0.8203	0.0132	-0.0566
-8.75	-0.7858	0.0127	-0.0593
-8.5	-0.7523	0.0124	-0.0612
-8.25	-0.7162	0.0118	-0.0643
-8.0	-0.6817	0.0115	-0.0665
-7.75	-0.6479	0.0113	-0.0683
-7.5	-0.613	0.0109	-0.0705
-7.25	-0.5798	0.0108	-0.072
-7.0	-0.5466	0.0106	-0.0734
-6.75	-0.5129	0.0104	-0.0751
-6.5	-0.4799	0.0103	-0.0764
-6.25	-0.4473	0.0102	-0.0776
-6.0	-0.4146	0.0101	-0.0788
-5.75	-0.3814	0.01	-0.0803
-5.5	-0.3484	0.0099	-0.0815
-5.25	-0.3156	0.0098	-0.0827
-5.0	-0.283	0.0098	-0.0837
-4.75	-0.2499	0.0096	-0.085
-4.5	-0.217	0.0095	-0.0862
-4.25	-0.1845	0.0095	-0.0873
-4.0	-0.1521	0.0095	-0.0883
-3.75	-0.1197	0.0094	-0.0893
-3.5	-0.0872	0.0094	-0.0904
-3.25	-0.0545	0.0094	-0.0915
-3.0	-0.022	0.0093	-0.0925
-2.75	0.0104	0.0093	-0.0934
-2.5	0.043	0.0092	-0.0944
-2.25	0.0755	0.0092	-0.0954
-2.0	0.1078	0.0092	-0.0964
-1.75	0.1399	0.0092	-0.0972
-1.5	0.1719	0.0092	-0.0981
-1.25	0.204	0.0092	-0.099
-1.0	0.2359	0.0093	-0.0998
-0.75	0.2681	0.0092	-0.1007
-0.5	0.3002	0.0092	-0.1015
-0.25	0.3323	0.0092	-0.1023
0.0	0.3644	0.0092	-0.1032
0.25	0.3964	0.0092	-0.104
0.5	0.4282	0.0092	-0.1047
0.75	0.4599	0.0093	-0.1055
1.0	0.4915	0.0094	-0.1062
1.25	0.5228	0.0094	-0.1069
1.5	0.5543	0.0095	-0.1076
1.75	0.586	0.0095	-0.1083
2.0	0.6176	0.0095	-0.109
2.25	0.6492	0.0096	-0.1097
